#docid,title,description,type,status,expected_coverage,node_order
"RQT_SSY_CAS-IPPV_0007_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_CAS-OPPV_0001_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_EASY-SMS_0001_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_PUSHVOD_0037_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_CAS-IPPV_0008_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_CAS-IPPV_0009_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_CAS-OPPV_0002_v1","2.1 req1","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0019_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0020_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0021_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0022_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0023_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0024_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0025_v1","2.2 req2","test",1,"F",3,2
"RQT_SSY_MMI-PROMO_0001_v1","3.1 req3","test",1,"F",3,2
"RQT_SSY_MMI-PROMO_0002_v1","3.1.1 req4","test",1,"F",3,2
"RQT_SSY_MMI-IPPV_0021_v1","3.2 req5","test",1,"F",3,2
"RQT_SSY_MMI-IPPV_0022_v1","3.2.1 req6","test",1,"F",3,2
"RQT_SSY_MMI-OPPV_0001_v1","3.3 req7","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0030_v1","3.4 req8","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0029_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_BOOTLOAD_0050_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_MMI-IPPV_0023_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_MMI-IPPV_0024_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0026_v1","4.1 req9","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0027_v1","5.1 req10","test",1,"F",3,2
"RQT_SSY_PROMO-CHANNEL_0028_v1","5.3 req11","test",1,"F",3,2
"RQT_SSY_CAS-IPPV_0011_v1","5.4 req12","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0032_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0033_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0034_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0035_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0036_v1","1.3 req14","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0037_v1","2.1 req15","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0038_v1","2.1 req15","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0039_v1","2.2 req16","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0040_v1","2.3 req17","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0041_v1","2.4 req18","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0042_v1","2.5 req19","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0043_v1","2.6 req20","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0044_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_MMI-MESSAGES_0045_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0001_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0002_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0003_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0004_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0005_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0006_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_CAS_0001_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_LDR_0007_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_SSV_0001_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_SSV_0002_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_SSV_0003_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_STABILITY_0001_v1","2.7 req21","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0001_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0002_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0003_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0004_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0005_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0006_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_EPG_0014_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0026_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_MMI-GLOBAL_0027_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_WIDGETS_0008_v1","5. ma1n ","test",1,"F",3,2
"RQT_SSY_EPG_0001_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0002_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0003_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0004_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0005_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0006_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0007_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0008_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_EPG_0009_v1","5.1. EPG ","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NAME_0001_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NAME_0002_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NAME_0003_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NAME_0004_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NAME_0006_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NB_0001_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NB_0002_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NB_0003_v1","5.2.1 Channel","test",1,"F",3,2
"RQT_SSY_MMI-CHANNEL-NB_0004_v1","5.2.1 Channel","test","prior","to","the","channel","number","(E.g.","if","the","channel","number","is",85,"then","it","will","be","present","as","85""""","not","as","085"""").","|5",,,,,"|6",,,,,"|7",,,,,"|8",,,,,"|9",,,,,,"|10",,,,,"|11","DEFINED",,,,"|12",,,,,"|13","DigiTurk",,,,"|14",,,,,"|15",,,,,"|16",,,,,"|17",,,,,"|18",,,,,"|19","X",,,,"|20","X",,,,"|21",,,,,"|22",,,,,"|23",,,,,"|24","X",,,,"|25",,,,,"|26",,,,,"|27",,,,,"|28","X",,,,"|29",,,,,"|30",,,,,"|31",,,,,"|32",,,,,"|33",,,,,"|34",,,,,"|35",,,,,"|36",,,,,"|37",,,,,"|38",,,,,"|39",,,,,,"|40",,,,,"|41",,,,,"|42","X",,,,"|43",,,,,"|44",,,,,"|45",,,,,"|46",,,,,"|47",,,,,"|48",,,,,"|49",,,,,"|50","X",,,,"|51",,,,,"|52",,,,,"|53",,,,,"|54",,,,,"|55",,,,,"|56",,,,,"|57","X""",1,"F",3,2
